Id,SalePrice
1461,119145.309413
1462,153766.670575
1463,182393.104811
1464,198149.103297
1465,201372.641894
1466,167365.187086
1467,178373.629123
1468,160741.836599
1469,191101.710607
1470,122290.522036
1471,177056.914572
1472,96891.9464013
1473,94462.4050325
1474,142452.633201
1475,104648.75412
1476,358504.160793
1477,248163.411431
1478,303910.647101
1479,301828.014214
1480,472044.078019
1481,339742.006937
1482,214461.148868
1483,181044.753981
1484,162891.960878
1485,199577.859055
1486,192134.407801
1487,348337.577147
1488,238771.508152
1489,190181.44594
1490,247285.100942
1491,195976.980075
1492,93664.6874258
1493,186989.824058
1494,304238.336888
1495,291753.083002
1496,236694.313767
1497,178743.977763
1498,184646.806188
1499,171499.919902
1500,158891.379763
1501,173642.952181
1502,144054.786396
1503,295365.541389
1504,242515.020432
1505,228422.369512
1506,187078.049519
1507,236936.257661
1508,202529.85215
1509,159883.146022
1510,145951.729144
1511,160834.087006
1512,173835.514693
1513,150145.81393
1514,157803.227155
1515,186745.589916
1516,155406.987639
1517,169902.367836
1518,130565.572631
1519,206517.522135
1520,127999.447569
1521,130161.193442
1522,175601.898677
1523,111683.282709
1524,124738.196166
1525,118111.829444
1526,109435.305179
1527,107877.610398
1528,133948.995363
1529,155830.913563
1530,191814.08846
1531,108837.083773
1532,97990.0465027
1533,145558.470546
1534,126605.837034
1535,143935.391273
1536,107241.048857
1537,58841.9922134
1538,152393.972977
1539,190861.734659
1540,91209.5765164
1541,139213.729165
1542,140649.486982
1543,175325.883345
1544,89128.7241694
1545,117400.22648
1546,141298.854549
1547,132989.177069
1548,139992.437321
1549,120618.487282
1550,138940.667884
1551,106215.971656
1552,136643.576371
1553,143079.858268
1554,116613.512551
1555,162197.383106
1556,86161.6280274
1557,109932.155314
1558,105453.160644
1559,66999.5980778
1560,130263.674469
1561,120184.777339
1562,130451.331512
1563,119044.510625
1564,154836.786197
1565,154450.615843
1566,237956.866959
1567,78488.6213171
1568,247167.206066
1569,131235.628882
1570,137142.537887
1571,111709.352207
1572,137091.959474
1573,222590.277158
1574,117318.276509
1575,239439.827538
1576,243570.005479
1577,176778.66562
1578,148483.704096
1579,151573.409239
1580,197663.267456
1581,156510.322694
1582,127630.743132
1583,281525.56192
1584,214814.155712
1585,135339.066586
1586,69970.1571251
1587,112108.692794
1588,149706.776244
1589,97138.0078682
1590,128584.632704
1591,91726.465901
1592,115031.179286
1593,133491.736682
1594,122042.682049
1595,107651.521204
1596,209678.08325
1597,203651.869049
1598,232814.337157
1599,170831.636911
1600,164371.422724
1601,66005.0014506
1602,115731.380361
1603,73406.316327
1604,260358.59076
1605,237606.220207
1606,166599.547479
1607,177516.034912
1608,220243.083805
1609,180329.126996
1610,153901.9057
1611,135428.219724
1612,170925.916758
1613,163755.151242
1614,125848.782588
1615,91829.8950916
1616,78601.7769335
1617,92647.7709861
1618,133307.624692
1619,142585.136968
1620,148594.066609
1621,131275.364838
1622,145531.004874
1623,255912.522597
1624,207302.907588
1625,116637.674229
1626,172899.960412
1627,194904.187795
1628,277080.813391
1629,185805.559831
1630,333087.439553
1631,228385.976755
1632,244073.023225
1633,180891.481526
1634,186852.276484
1635,172167.007467
1636,152624.975999
1637,198612.551771
1638,177373.686169
1639,186965.345898
1640,246533.915043
1641,181358.998831
1642,251951.76076
1643,218008.568826
1644,247739.892165
1645,193699.026585
1646,160065.115949
1647,161809.057616
1648,128337.111845
1649,142472.02486
1650,115195.814174
1651,119044.482253
1652,97902.9818113
1653,99904.2130816
1654,143420.906639
1655,128438.626958
1656,140534.731606
1657,148382.518616
1658,147816.553562
1659,115757.526519
1660,155476.938347
1661,425718.240403
1662,388042.352836
1663,367760.437687
1664,460746.586957
1665,306079.626049
1666,326883.206697
1667,373706.430269
1668,350696.248788
1669,320050.614701
1670,349038.49086
1671,268026.216944
1672,414987.418369
1673,292900.038968
1674,239212.375208
1675,200955.823449
1676,194155.759281
1677,222070.041577
1678,444820.256307
1679,396262.129389
1680,315439.557399
1681,248905.33275
1682,331806.59556
1683,186621.473278
1684,179353.848424
1685,174729.071465
1686,169350.832629
1687,175323.309853
1688,188774.434708
1689,194020.661895
1690,199926.20837
1691,190004.686513
1692,262858.056186
1693,177648.216926
1694,185202.504144
1695,171283.021154
1696,270920.75505
1697,175670.68594
1698,344561.282218
1699,312263.304225
1700,258595.407005
1701,271716.140969
1702,233858.197353
1703,240318.635696
1704,272552.393893
1705,246212.750382
1706,341547.117809
1707,210248.591225
1708,203847.645865
1709,260599.688721
1710,217688.332321
1711,284363.004389
1712,251640.408852
1713,283385.749765
1714,227898.35399
1715,209287.056792
1716,183965.713757
1717,179180.193155
1718,138440.479035
1719,210883.038795
1720,225840.64596
1721,157523.150911
1722,123405.507164
1723,152831.279735
1724,199290.785188
1725,236412.386774
1726,182718.45849
1727,155385.628966
1728,168595.551343
1729,170143.080838
1730,148157.054728
1731,117265.454498
1732,125492.395473
1733,110228.202323
1734,121634.358038
1735,119534.68424
1736,104573.533119
1737,290734.07844
1738,273540.681622
1739,226039.330333
1740,206877.923823
1741,187957.808402
1742,170988.410232
1743,179604.949692
1744,347901.3777
1745,214895.203217
1746,183526.719275
1747,214895.72157
1748,210242.142407
1749,140197.478471
1750,119797.642883
1751,247406.416948
1752,115355.471383
1753,150577.423047
1754,191937.643295
1755,166921.414689
1756,128269.896308
1757,122539.844179
1758,148607.197845
1759,164786.918742
1760,166091.399358
1761,144181.030134
1762,175493.210927
1763,193025.405092
1764,117601.892109
1765,159530.309065
1766,198480.477388
1767,215684.64679
1768,140640.007599
1769,172570.023073
1770,158704.42255
1771,118258.969097
1772,126925.736209
1773,121980.417288
1774,139402.193557
1775,145227.624029
1776,133612.276681
1777,110151.330872
1778,141713.782898
1779,128333.344566
1780,177239.447738
1781,125858.140841
1782,86299.8186069
1783,141861.252803
1784,110058.275727
1785,124773.888681
1786,132824.038153
1787,162258.259019
1788,61225.3110081
1789,98158.038364
1790,83458.1645634
1791,181579.535423
1792,156245.405024
1793,131132.872699
1794,158455.635192
1795,135782.47915
1796,131211.543055
1797,110520.505033
1798,119172.803984
1799,112075.993757
1800,133128.937528
1801,128180.028356
1802,131942.207856
1803,148293.018787
1804,136562.528515
1805,134685.532852
1806,122779.562524
1807,138744.351449
1808,127420.239233
1809,127290.817488
1810,139708.053587
1811,95552.828891
1812,98027.5459356
1813,130934.859621
1814,101847.056296
1815,54427.3295235
1816,100888.380751
1817,107081.737165
1818,141803.696596
1819,120041.787759
1820,54828.4106529
1821,112750.706877
1822,154903.329496
1823,48792.8340087
1824,127713.439357
1825,139603.016944
1826,106167.527427
1827,103683.833611
1828,135522.744311
1829,126977.361773
1830,139893.003332
1831,143491.219782
1832,69018.0669428
1833,140301.023769
1834,114079.916873
1835,106534.34557
1836,119054.512393
1837,85556.7806707
1838,125607.235302
1839,102618.243299
1840,143533.55174
1841,132839.910329
1842,95169.5580581
1843,127343.908583
1844,148092.607988
1845,146966.03826
1846,159589.78833
1847,178784.171536
1848,55216.4751552
1849,107862.176086
1850,117110.865989
1851,145135.30391
1852,128206.29892
1853,123322.944054
1854,163093.052398
1855,156940.119435
1856,230143.82713
1857,122896.929702
1858,130555.61357
1859,118137.146943
1860,148036.416416
1861,116440.157461
1862,328693.012813
1863,301260.735999
1864,301370.062948
1865,331500.36478
1866,323331.70866
1867,221312.336092
1868,277719.853108
1869,202079.946786
1870,223163.301663
1871,257952.9541
1872,177313.71269
1873,250565.674136
1874,156417.008396
1875,199381.579389
1876,202608.414191
1877,209945.669769
1878,201349.8465
1879,130988.029339
1880,129857.575153
1881,242019.460275
1882,236988.078459
1883,180896.985167
1884,200692.821581
1885,226612.981957
1886,279532.979895
1887,220322.883536
1888,267193.165411
1889,173798.206139
1890,110812.447828
1891,130045.778632
1892,96641.6793258
1893,131462.86567
1894,125286.324267
1895,130139.744816
1896,126605.016673
1897,121522.560415
1898,109715.801229
1899,166997.981113
1900,153014.036577
1901,182826.587014
1902,160382.535668
1903,227109.061848
1904,140562.975284
1905,196226.657943
1906,141916.674804
1907,199951.475326
1908,109523.40009
1909,133395.259606
1910,118479.14854
1911,230594.216972
1912,339250.691513
1913,129419.841019
1914,60480.4763967
1915,300439.146196
1916,62676.0296741
1917,231570.739575
1918,141442.016712
1919,172921.985566
1920,150821.211835
1921,365585.258455
1922,312601.975804
1923,242752.048737
1924,228563.356649
1925,195604.168989
1926,348408.343901
1927,131577.764895
1928,163968.85397
1929,124608.739089
1930,130796.111142
1931,138110.677509
1932,134494.398097
1933,194681.817218
1934,182345.095288
1935,172240.957162
1936,197450.413601
1937,185940.515512
1938,171546.932576
1939,241062.393797
1940,195052.94179
1941,166417.617985
1942,178310.725971
1943,224933.38405
1944,382817.338906
